sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-07-30T10:33:53Z,1785407633476661449,0,4156,4156,5,14,0,321061556,200,196,196,448255591,348787
1,2026-07-30T10:33:54Z,1785407634513583203,1,4188,4188,5,15,0,321062381,200,196,196,448255591,348787
2,2026-07-30T10:33:55Z,1785407635542112973,2,4372,4372,5,43,27,321063192,200,196,196,448255591,348787
3,2026-07-30T10:33:56Z,1785407636570847987,3,4704,4704,5,68,91,321063986,200,196,196,448255591,348787
4,2026-07-30T10:33:57Z,1785407637604164642,4,5652,5652,5,74,246,321064757,200,196,196,448255591,348787
5,2026-07-30T10:33:58Z,1785407638635504463,5,5976,5984,5,75,420,321065530,200,196,196,448255591,348787
6,2026-07-30T10:33:59Z,1785407639666534730,6,5984,5984,5,77,588,321066294,200,196,196,448255591,348797
7,2026-07-30T10:34:00Z,1785407640699057122,7,5988,5988,5,78,753,321067065,200,196,196,448255591,348801
8,2026-07-30T10:34:01Z,1785407641731748198,8,5988,5988,5,78,921,321067824,200,196,196,448255591,348804
9,2026-07-30T10:34:02Z,1785407642762343355,9,5988,5988,5,78,1088,321068580,200,196,196,448255591,348804
10,2026-07-30T10:34:03Z,1785407643795159847,10,5988,5988,5,78,1254,321069347,200,196,196,448255591,348809
11,2026-07-30T10:34:04Z,1785407644827259405,11,5988,5988,5,78,1420,321070124,200,196,196,448255591,348812
12,2026-07-30T10:34:05Z,1785407645860161670,12,5988,5988,5,78,1590,321070887,200,196,196,448255591,348820
13,2026-07-30T10:34:06Z,1785407646893125835,13,5988,5988,5,78,1758,321071654,200,196,196,448255591,348824
14,2026-07-30T10:34:07Z,1785407647923876927,14,5988,5988,5,78,1925,321072423,200,196,196,448255591,348828
15,2026-07-30T10:34:08Z,1785407648955853285,15,5988,5988,5,78,2093,321073198,200,196,196,448255591,348840
16,2026-07-30T10:34:09Z,1785407649987500247,16,5988,5988,5,78,2263,321073972,200,196,196,448255591,348849
17,2026-07-30T10:34:11Z,1785407651018722858,18,5988,5988,5,78,2430,321074746,200,196,196,448255591,348857
18,2026-07-30T10:34:12Z,1785407652049121058,19,5988,5988,5,78,2598,321075510,200,196,196,448255591,348862
19,2026-07-30T10:34:13Z,1785407653082347137,20,5988,5988,5,78,2766,321076277,200,196,196,448255591,348872
20,2026-07-30T10:34:14Z,1785407654115379447,21,6096,6096,5,96,2935,321077053,200,196,196,448255591,348876
21,2026-07-30T10:34:15Z,1785407655145824392,22,6096,6096,5,96,3101,321077802,200,196,196,448255591,348880
22,2026-07-30T10:34:16Z,1785407656178124858,23,6096,6096,5,96,3266,321078554,200,196,196,448255591,348881
23,2026-07-30T10:34:17Z,1785407657209479328,24,6096,6096,5,96,3431,321079301,200,196,196,448255591,348885
24,2026-07-30T10:34:18Z,1785407658241570930,25,6508,6508,5,145,3597,321080063,200,196,196,448255591,348886
25,2026-07-30T10:34:19Z,1785407659272664851,26,6508,6508,5,145,3759,321080830,200,196,196,448255591,348892
26,2026-07-30T10:34:20Z,1785407660304299172,27,6508,6508,5,145,3922,321081590,200,196,196,448255591,348894
27,2026-07-30T10:34:21Z,1785407661336122303,28,6508,6508,5,145,4085,321082362,200,196,196,448255591,348900
28,2026-07-30T10:34:22Z,1785407662368248447,29,6508,6508,5,145,4248,321083133,200,196,196,448255591,348905
29,2026-07-30T10:34:23Z,1785407663399041062,30,6508,6508,5,145,4409,321083898,200,196,196,448255591,348910
30,2026-07-30T10:34:24Z,1785407664429015753,31,6508,6508,5,145,4572,321084664,200,196,196,448255591,348917
31,2026-07-30T10:34:25Z,1785407665461398002,32,6508,6508,5,145,4734,321085435,200,196,196,448255591,348920
32,2026-07-30T10:34:26Z,1785407666492217510,33,6508,6508,5,145,4894,321086203,200,196,196,448255591,348921
33,2026-07-30T10:34:27Z,1785407667523254790,34,6508,6508,5,145,5055,321086958,200,196,196,448255591,348923
34,2026-07-30T10:34:28Z,1785407668554596084,35,6508,6508,5,145,5215,321087703,200,196,196,448255591,348923
35,2026-07-30T10:34:29Z,1785407669586403834,36,6508,6508,5,145,5377,321088468,200,196,196,448255591,348927
36,2026-07-30T10:34:30Z,1785407670618673171,37,6508,6508,5,145,5539,321089254,200,196,196,448255591,348932
37,2026-07-30T10:34:31Z,1785407671649867834,38,6508,6508,5,145,5703,321090036,200,196,196,448255591,348933
38,2026-07-30T10:34:32Z,1785407672681589651,39,6508,6508,5,145,5863,321090815,200,196,196,448255591,348937
39,2026-07-30T10:34:33Z,1785407673711723095,40,6508,6508,5,145,6024,321091599,200,196,196,448255591,348941
40,2026-07-30T10:34:34Z,1785407674742473177,41,6508,6508,5,145,6184,321092373,200,196,196,448255591,348948
41,2026-07-30T10:34:35Z,1785407675772492918,42,6508,6508,5,145,6346,321093150,200,196,196,448255591,348954
42,2026-07-30T10:34:36Z,1785407676803130154,43,6508,6508,5,145,6506,321093901,200,196,196,448255591,348957
43,2026-07-30T10:34:37Z,1785407677835327333,44,6508,6508,5,145,6665,321094659,200,196,196,448255591,348958
44,2026-07-30T10:34:38Z,1785407678867170379,45,6508,6508,5,145,6826,321095419,200,196,196,448255591,348964
45,2026-07-30T10:34:39Z,1785407679898161816,46,6508,6508,5,145,6984,321096183,200,196,196,448255591,348965
46,2026-07-30T10:34:40Z,1785407680929921122,47,6620,6580,5,163,7148,321096944,200,196,196,448255591,348968
47,2026-07-30T10:34:41Z,1785407681960914476,48,6580,6612,5,163,7311,321097715,200,196,196,448255591,348972
48,2026-07-30T10:34:42Z,1785407682991726156,49,6580,6612,5,163,7478,321098486,200,196,196,448255591,348973
49,2026-07-30T10:34:44Z,1785407684022585179,51,6556,6612,5,162,7647,321099261,200,196,196,448255591,348976
50,2026-07-30T10:34:45Z,1785407685053354916,52,6556,6616,5,162,7815,321100040,200,196,196,448255591,348978
51,2026-07-30T10:34:46Z,1785407686083970692,53,6556,6612,5,162,7983,321100817,200,196,196,448255591,348980
52,2026-07-30T10:34:47Z,1785407687115678634,54,6556,6612,5,162,8153,321101600,200,196,196,448255591,348981
53,2026-07-30T10:34:48Z,1785407688145568038,55,6556,6612,5,162,8322,321102373,200,196,196,448255591,348984
54,2026-07-30T10:34:49Z,1785407689175272224,56,6556,6612,5,162,8486,321103142,200,196,196,448255591,348985
55,2026-07-30T10:34:50Z,1785407690205020513,57,6556,6612,5,162,8657,321103924,200,196,196,448255591,348988
56,2026-07-30T10:34:51Z,1785407691235931994,58,6604,6612,5,162,8827,321104703,200,196,196,448255591,348991
57,2026-07-30T10:34:52Z,1785407692266694969,59,6556,6612,5,162,8996,321105479,200,196,196,448255591,348992
58,2026-07-30T10:34:53Z,1785407693297097500,60,6556,6612,5,162,9164,321106257,200,196,196,448255591,348994
59,2026-07-30T10:34:54Z,1785407694328100101,61,6556,6612,5,162,9334,321107038,200,196,196,448255591,348998
60,2026-07-30T10:34:55Z,1785407695359223233,62,6556,6612,5,162,9504,321107816,200,196,196,448255591,349000
61,2026-07-30T10:34:56Z,1785407696390546373,63,6556,6612,5,162,9675,321108596,200,196,196,448255591,349001
62,2026-07-30T10:34:57Z,1785407697419808999,64,6556,6612,5,162,9843,321109371,200,196,196,448255591,349002
63,2026-07-30T10:34:58Z,1785407698450503610,65,6556,6612,5,162,10013,321110136,200,196,196,448255591,349004
64,2026-07-30T10:34:59Z,1785407699480545474,66,6556,6620,5,162,10178,321110910,200,196,196,448255591,349006
65,2026-07-30T10:35:00Z,1785407700513124641,67,6556,6612,5,162,10344,321111685,200,196,196,448255591,349008
66,2026-07-30T10:35:01Z,1785407701543570066,68,6556,6612,5,162,10513,321112462,200,196,196,448255591,349009
67,2026-07-30T10:35:02Z,1785407702573275381,69,6556,6612,5,162,10683,321113240,200,196,196,448255591,349009
68,2026-07-30T10:35:03Z,1785407703604271386,70,6556,6612,5,162,10855,321114016,200,196,196,448255591,349011
69,2026-07-30T10:35:04Z,1785407704637447038,71,6576,6612,5,167,11019,321114780,200,196,196,448255591,349014
70,2026-07-30T10:35:05Z,1785407705667795588,72,6648,6740,5,170,11185,321115554,200,196,196,448255591,349018
71,2026-07-30T10:35:06Z,1785407706698892889,73,6648,6740,5,170,11356,321116336,200,196,196,448255591,349022
72,2026-07-30T10:35:07Z,1785407707729666074,74,6648,6740,5,170,11525,321117113,200,196,196,448255591,349022
73,2026-07-30T10:35:08Z,1785407708760921755,75,6648,6740,5,170,11695,321117889,200,196,196,448255591,349027
74,2026-07-30T10:35:09Z,1785407709792686180,76,6648,6740,5,170,11867,321118671,200,196,196,448255591,349030
75,2026-07-30T10:35:10Z,1785407710823823362,77,6568,6740,5,148,12035,321119445,200,196,196,448255591,349032
76,2026-07-30T10:35:11Z,1785407711856199826,78,6520,6740,5,136,12204,321120217,200,196,196,448255591,349034
77,2026-07-30T10:35:12Z,1785407712887878337,79,6520,6740,5,136,12374,321121001,200,196,196,448255591,349034
78,2026-07-30T10:35:13Z,1785407713920174630,80,6520,6740,5,136,12543,321121777,200,196,196,448255591,349036
79,2026-07-30T10:35:14Z,1785407714951836589,81,6520,6740,5,136,12712,321122550,200,196,196,448255591,349037
80,2026-07-30T10:35:15Z,1785407715983850632,82,6520,6740,5,136,12883,321123333,200,196,196,448255591,349042
81,2026-07-30T10:35:17Z,1785407717015751122,84,6520,6740,5,136,13056,321124100,200,196,196,448255591,349042
82,2026-07-30T10:35:18Z,1785407718046969274,85,6520,6740,5,136,13225,321124866,200,196,196,448255591,349046
83,2026-07-30T10:35:19Z,1785407719079081602,86,6520,6740,5,136,13397,321125633,200,196,196,448255591,349051
84,2026-07-30T10:35:20Z,1785407720111248237,87,6520,6740,5,136,13567,321126405,200,196,196,448255591,349051
85,2026-07-30T10:35:21Z,1785407721142430266,88,6520,6740,5,136,13737,321127176,200,196,196,448255591,349052
86,2026-07-30T10:35:22Z,1785407722177149447,89,6520,6740,5,136,13906,321127949,200,196,196,448255591,349053
