scheduled_unix_nanos,sent_unix_nanos,done_unix_nanos,latency_ns,scheduler_lag_ns,status,body_bytes,conn_reused,conn_was_idle,dial_count,wrote_request,failure_class,error_text
1785407705062367707,1785407705062391200,1785407705062539934,172228,23492,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785407726674367707,1785407726675232224,1785407726675366750,999033,864504,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785407749673701040,1785407749674534732,1785407749674733359,1032321,833694,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785407933744367707,1785407933745283263,1785407933745485812,1118107,915548,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785407933776367707,1785407933777310991,1785407933777503255,1135552,943279,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408047350367707,1785408047351254710,1785408047351489789,1122155,886995,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408048826367707,1785408048827196374,1785408048827361512,993795,828654,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408071822367707,1785408071823326362,1785408071823479868,1112163,958646,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408071821701040,1785408071823215055,1785408071823536872,1835830,1514002,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408201463034373,1785408201466148053,1785408201467283832,4249463,3113679,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408255814367707,1785408255817219519,1785408255817446631,3078927,2851799,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408255816367707,1785408255817218467,1785408255817460126,1092420,850747,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408301805701040,1785408301807392411,1785408301807666115,1965077,1691383,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408354615701040,1785408354615710508,1785408354616143975,442934,9478,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408355597701040,1785408355598791178,1785408355598991924,1290884,1090126,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408441221034373,1785408441221327101,1785408441221532682,498313,292728,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
1785408485748367707,1785408485749339334,1785408485749662741,1295081,971627,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/json/medium"": EOF"
