scheduled_unix_nanos,sent_unix_nanos,done_unix_nanos,latency_ns,scheduler_lag_ns,status,body_bytes,conn_reused,conn_was_idle,dial_count,wrote_request,failure_class,error_text
1785407772690854486,1785407772694718238,1785407772697293391,6438893,3863859,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785407772695154486,1785407772695186981,1785407772697367317,2212785,32448,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408002793054486,1785408002800604700,1785408002801454028,8399484,7550167,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408002799054486,1785408002800147574,1785408002801517970,2463423,1093044,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408002799354486,1785408002800514877,1785408002801540969,2186422,1160332,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408002792354486,1785408002800518586,1785408002801612542,9257995,8164038,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408002792254486,1785408002800459894,1785408002801657095,9402548,8205383,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408002792954486,1785408002800525378,1785408002801837376,8882831,7570846,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408140906954486,1785408140927737939,1785408140931272025,24317491,20783393,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408140907154486,1785408140927779844,1785408140931418672,24264131,20625310,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408186867054486,1785408186873614083,1785408186875570762,8516229,6559537,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408186867654486,1785408186873954776,1785408186875579030,7924495,6300246,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408186874454486,1785408186874696709,1785408186875612001,1157466,242183,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408186868554486,1785408186874660439,1785408186875662893,7108346,6105905,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408186868454486,1785408186874567733,1785408186875694452,7239916,6113201,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408209817954486,1785408209827174482,1785408209829361448,11406912,9219936,0,0,false,false,1,false,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408209820554486,1785408209827112029,1785408209829408270,8853731,6557501,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408209820454486,1785408209827047094,1785408209829436797,8982251,6592550,0,0,false,false,1,true,eof_on_fresh_conn,"Get ""http://127.0.0.1:8080/tiny"": EOF"
1785408517607354486,1785408517610421181,1785408517615270912,7916369,3066647,0,0,false,false,1,true,peer_reset,"Get ""http://127.0.0.1:8080/tiny"": read tcp 127.0.0.1:33504->127.0.0.1:8080: read: connection reset by peer"
