sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-07-30T11:06:16Z,1785409576345770003,0,4156,4156,5,14,0,322504884,200,196,196,448255594,353798
1,2026-07-30T11:06:17Z,1785409577382520952,1,4188,4188,5,15,0,322505710,200,196,196,448255594,353798
2,2026-07-30T11:06:18Z,1785409578411136711,2,4436,4436,5,51,27,322506519,200,196,196,448255594,353798
3,2026-07-30T11:06:19Z,1785409579442845791,3,4544,4544,5,54,91,322507327,200,196,196,448255594,353798
4,2026-07-30T11:06:20Z,1785409580474400374,4,5584,5584,5,63,217,322508116,200,196,196,448255594,353798
5,2026-07-30T11:06:21Z,1785409581505895678,5,5924,5924,5,68,388,322508884,200,196,196,448255594,353798
6,2026-07-30T11:06:22Z,1785409582537965567,6,5924,5924,5,68,564,322509649,200,196,196,448255594,353798
7,2026-07-30T11:06:23Z,1785409583569954706,7,5924,5924,5,68,737,322510422,200,196,196,448255594,353798
8,2026-07-30T11:06:24Z,1785409584602253927,8,5924,5924,5,68,910,322511195,200,196,196,448255594,353798
9,2026-07-30T11:06:25Z,1785409585634310392,9,5924,5924,5,68,1084,322511963,200,196,196,448255594,353798
10,2026-07-30T11:06:26Z,1785409586666864282,10,5924,5924,5,68,1255,322512736,200,196,196,448255594,353798
11,2026-07-30T11:06:27Z,1785409587699370851,11,5924,5924,5,68,1428,322513504,200,196,196,448255594,353798
12,2026-07-30T11:06:28Z,1785409588732002877,12,5924,5924,5,68,1602,322514270,200,196,196,448255594,353798
13,2026-07-30T11:06:29Z,1785409589765396378,13,5924,5924,5,68,1772,322515041,200,196,196,448255594,353798
14,2026-07-30T11:06:30Z,1785409590797900676,14,5924,5924,5,68,1940,322515816,200,196,196,448255594,353798
15,2026-07-30T11:06:31Z,1785409591830892167,15,5924,5924,5,68,2113,322516588,200,196,196,448255594,353798
16,2026-07-30T11:06:32Z,1785409592864270659,16,5924,5924,5,68,2283,322517360,200,196,196,448255594,353798
17,2026-07-30T11:06:33Z,1785409593898016895,17,5924,5924,5,68,2453,322518134,200,196,196,448255594,353798
18,2026-07-30T11:06:34Z,1785409594929252500,18,5924,5924,5,68,2624,322518901,200,196,196,448255594,353798
19,2026-07-30T11:06:35Z,1785409595962032105,19,5924,5924,5,68,2796,322519671,200,196,196,448255594,353798
20,2026-07-30T11:06:36Z,1785409596995715353,20,5948,5948,5,69,2967,322520447,200,196,196,448255594,353798
21,2026-07-30T11:06:38Z,1785409598027424585,22,5948,5948,5,69,3134,322521225,200,196,196,448255594,353798
22,2026-07-30T11:06:39Z,1785409599058845385,23,5948,5948,5,69,3300,322522002,200,196,196,448255594,353798
