cycle,started_utc,ended_utc,health_status,health_transport_errors,health_p99_us,stats_http,stats_curl_exit
1,2026-08-04T03:53:15Z,2026-08-04T03:55:20Z,2400,0,1242,200,0
2,2026-08-04T03:55:25Z,2026-08-04T03:57:29Z,2400,0,2095,200,0
3,2026-08-04T03:57:34Z,2026-08-04T03:59:38Z,2400,0,1496,200,0
4,2026-08-04T03:59:43Z,2026-08-04T04:01:48Z,2400,0,1551,200,0
5,2026-08-04T04:01:53Z,2026-08-04T04:03:57Z,2400,0,1198,200,0
