sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
0,2026-07-30T10:50:05Z,1785408605055502785,0,6928,6928,17,38,0,321795264,200,196,196,448255594,352380
1,2026-07-30T10:50:06Z,1785408606082185710,1,7004,7004,17,39,0,321796084,200,196,196,448255594,352380
2,2026-07-30T10:50:07Z,1785408607110713055,2,7444,7444,17,96,4,321796904,200,196,196,448255594,352380
3,2026-07-30T10:50:08Z,1785408608140378859,3,7612,7612,17,100,73,321797705,200,196,196,448255594,352380
4,2026-07-30T10:50:09Z,1785408609173217112,4,9192,9192,17,106,230,321798459,200,196,196,448255594,352380
5,2026-07-30T10:50:10Z,1785408610206686655,5,9580,9580,17,107,411,321799208,200,196,196,448255594,352380
6,2026-07-30T10:50:11Z,1785408611240308702,6,9588,9588,17,108,590,321799952,200,196,196,448255594,352380
7,2026-07-30T10:50:12Z,1785408612271667097,7,9592,9592,17,108,771,321800695,200,196,196,448255594,352380
8,2026-07-30T10:50:13Z,1785408613304150127,8,9596,9596,17,108,950,321801447,200,196,196,448255594,352380
9,2026-07-30T10:50:14Z,1785408614338785294,9,9600,9600,17,108,1131,321802189,200,196,196,448255594,352380
10,2026-07-30T10:50:15Z,1785408615372359970,10,9604,9604,17,108,1312,321802934,200,196,196,448255594,352380
11,2026-07-30T10:50:16Z,1785408616405702503,11,9880,9880,17,109,1494,321803683,200,196,196,448255594,352380
12,2026-07-30T10:50:17Z,1785408617439663034,12,9884,9884,17,109,1676,321804424,200,196,196,448255594,352380
13,2026-07-30T10:50:18Z,1785408618472847286,13,9884,9884,17,109,1854,321805169,200,196,196,448255594,352380
14,2026-07-30T10:50:19Z,1785408619507107617,14,9884,9884,17,109,2036,321805919,200,196,196,448255594,352380
15,2026-07-30T10:50:20Z,1785408620540364229,15,9884,9884,17,109,2216,321806664,200,196,196,448255594,352380
16,2026-07-30T10:50:21Z,1785408621573417085,16,9884,9884,17,109,2395,321807412,200,196,196,448255594,352380
17,2026-07-30T10:50:22Z,1785408622605886235,17,9888,9888,17,109,2575,321808157,200,196,196,448255594,352380
18,2026-07-30T10:50:23Z,1785408623637618937,18,9892,9892,17,109,2754,321808906,200,196,196,448255594,352380
19,2026-07-30T10:50:24Z,1785408624669675597,19,9896,9896,17,109,2933,321809650,200,196,196,448255594,352380
20,2026-07-30T10:50:25Z,1785408625704035146,20,9960,9960,17,111,3112,321810396,200,196,196,448255594,352380
21,2026-07-30T10:50:26Z,1785408626738686161,21,9960,9960,17,111,3293,321811148,200,196,196,448255594,352380
22,2026-07-30T10:50:27Z,1785408627772003461,22,9960,9960,17,111,3471,321811899,200,196,196,448255594,352380
23,2026-07-30T10:50:28Z,1785408628805124043,23,9960,9960,17,111,3649,321812652,200,196,196,448255594,352380
24,2026-07-30T10:50:29Z,1785408629838779409,24,10988,11004,17,119,3829,321813400,200,196,196,448255594,352380
25,2026-07-30T10:50:30Z,1785408630873924120,25,11692,11692,17,190,4010,321814149,200,196,196,448255594,352380
26,2026-07-30T10:50:31Z,1785408631907369960,26,11692,11692,17,190,4189,321814907,200,196,196,448255594,352380
27,2026-07-30T10:50:32Z,1785408632940833446,27,11700,11700,17,190,4366,321815658,200,196,196,448255594,352380
28,2026-07-30T10:50:33Z,1785408633973556950,28,11700,11700,17,190,4544,321816403,200,196,196,448255594,352380
29,2026-07-30T10:50:35Z,1785408635006937542,30,11700,11700,17,190,4720,321817157,200,196,196,448255594,352380
30,2026-07-30T10:50:36Z,1785408636040435061,31,11700,11700,17,190,4897,321817908,200,196,196,448255594,352380
31,2026-07-30T10:50:37Z,1785408637072717009,32,11700,11700,17,190,5073,321818664,200,196,196,448255594,352380
32,2026-07-30T10:50:38Z,1785408638106514155,33,11700,11700,17,190,5249,321819415,200,196,196,448255594,352380
33,2026-07-30T10:50:39Z,1785408639139284266,34,11704,11704,17,190,5427,321820163,200,196,196,448255594,352380
34,2026-07-30T10:50:40Z,1785408640173187195,35,11704,11704,17,190,5601,321820913,200,196,196,448255594,352380
35,2026-07-30T10:50:41Z,1785408641205254349,36,11704,11704,17,190,5779,321821661,200,196,196,448255594,352380
