scheduled_unix_nanos,sent_unix_nanos,done_unix_nanos,latency_ns,scheduler_lag_ns,status,body_bytes,conn_reused,conn_was_idle,dial_count,wrote_request,failure_class,error_text
1785409922674308100,1785409922677632895,1785409922677791378,3483281,3324788,0,0,false,false,1,false,eof_on_fresh_conn,"Post ""http://127.0.0.1:8080/json/medium/decode"": EOF"
1785409922674058100,1785409922677566588,1785409922677946014,3887918,3508495,0,0,false,false,1,false,eof_on_fresh_conn,"Post ""http://127.0.0.1:8080/json/medium/decode"": EOF"
1785409922675308100,1785409922678103673,1785409922678244474,2936370,2795566,0,0,false,false,1,false,request_write_failed,"Post ""http://127.0.0.1:8080/json/medium/decode"": write tcp 127.0.0.1:60612->127.0.0.1:8080: use of closed network connection"
1785409922675058100,1785409922678016621,1785409922679294913,4236817,2958516,0,0,false,false,1,false,request_write_failed,"Post ""http://127.0.0.1:8080/json/medium/decode"": readfrom tcp 127.0.0.1:60596->127.0.0.1:8080: write tcp 127.0.0.1:60596->127.0.0.1:8080: use of closed network connection"
1785409991698558100,1785409991701514127,1785409991702201870,3643828,2956032,0,0,false,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:35992->127.0.0.1:8080: read: connection reset by peer"
1785409991698808100,1785409991701488489,1785409991702275083,3466985,2680393,0,0,false,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:35986->127.0.0.1:8080: read: connection reset by peer"
1785409991701558100,1785409991701622782,1785409991702347387,789285,64675,0,0,false,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:36002->127.0.0.1:8080: read: connection reset by peer"
1785409991699058100,1785409991701512786,1785409991704087178,5029081,2454696,0,0,false,false,1,true,peer_reset,"Post ""http://127.0.0.1:8080/json/medium/decode"": read tcp 127.0.0.1:35990->127.0.0.1:8080: read: connection reset by peer"
