cycle,started_utc,ended_utc,health_status,health_transport_errors,health_p99_us,stats_http,stats_curl_exit
1,2026-08-04T04:56:40Z,2026-08-04T04:58:45Z,2400,0,1189,200,0
2,2026-08-04T04:58:50Z,2026-08-04T05:00:54Z,2400,0,1205,200,0
3,2026-08-04T05:00:59Z,2026-08-04T05:03:03Z,2400,0,1189,200,0
4,2026-08-04T05:03:08Z,2026-08-04T05:05:13Z,2400,0,1200,200,0
5,2026-08-04T05:05:18Z,2026-08-04T05:07:22Z,2400,0,1556,200,0
