cycle,started_utc,ended_utc,health_status,health_transport_errors,health_p99_us,stats_http,stats_curl_exit
1,2026-08-03T05:04:36Z,2026-08-03T05:06:41Z,2400,0,3969,200,0
2,2026-08-03T05:06:46Z,2026-08-03T05:08:51Z,2400,0,3366,200,0
3,2026-08-03T05:08:56Z,2026-08-03T05:11:02Z,2400,0,32822,200,0
4,2026-08-03T05:11:07Z,2026-08-03T05:13:12Z,2400,0,2008,200,0
5,2026-08-03T05:13:17Z,2026-08-03T05:15:22Z,2400,0,2188,200,0
